type,x,y
entry,9,20
entry,10,20
exit,20,2
exit,20,3
veg,3,18
veg,4,18
veg,5,18
veg,6,18
chicken,3,16
chicken,4,16
chicken,5,16
chicken,6,16
beef,3,12
beef,4,12
beef,5,12
beef,6,12
fresh,3,3
fresh,3,4
fresh,3,5
fresh,3,6
fresh,4,3
fresh,5,3
fresh,6,3
fresh,6,4
fresh,6,5
fresh,6,6
fresh,4,6
fresh,5,6
candy,13,5
candy,13,6
candy,13,7
candy,13,8
cigs,16,5
cigs,16,6
cigs,16,7
cigs,16,8
chips,19,5
chips,19,6
chips,19,7
chips,19,8
pasta,13,11
pasta,13,12
pasta,13,13
pasta,13,14
cons,13,15
cons,13,16
cons,13,17
cons,13,18
beer,16,11
beer,16,12
beer,16,13
beer,16,14
wine,16,15
wine,16,16
wine,16,17
wine,16,18
bread,19,11
bread,19,12
bread,19,13
bread,19,14
cheese,19,15
cheese,19,16
cheese,19,17
cheese,19,18
service,9,1
service,9,2
service,10,2
service,11,2
service,12,2
service,12,1
