type,x,y
entry,13,15
entry,12,15
exit,2,0
exit,3,0
cheese,0,2
cheese,0,3
cheese,0,4
cheese,0,5
cheese,0,6
cheese,0,7
vegetables,0,8
vegetables,0,9
vegetables,0,10
vegetables,0,11
vegetables,0,12
vegetables,0,13
alcohol,4,2
alcohol,4,3
alcohol,4,4
alcohol,4,5
alcohol,4,6
chicken,4,9
chicken,4,10
chicken,4,11
chicken,4,12
chicken,4,13
bread,6,2
bread,6,3
bread,6,4
bread,6,5
bread,6,6
dairy,6,9
dairy,6,10
dairy,6,11
dairy,6,12
dairy,6,13
wall,5,2
wall,5,3
wall,5,4
wall,5,5
wall,5,6
wall,5,9
wall,5,10
wall,5,11
wall,5,12
wall,5,13
meat,9,2
meat,9,3
meat,9,4
meat,9,5
meat,9,6
cookies,9,9
cookies,9,10
cookies,9,11
cookies,9,12
cookies,9,13
utilities,11,2
utilities,11,3
utilities,11,4
utilities,11,5
utilities,11,6
sweets,11,9
sweets,11,10
sweets,11,11
sweets,11,12
sweets,11,13
wall,10,2
wall,10,3
wall,10,4
wall,10,5
wall,10,6
wall,10,9
wall,10,10
wall,10,11
wall,10,12
wall,10,13
pasta,15,2
pasta,15,3
pasta,15,4
pasta,15,5
pasta,15,6
pasta,15,7
chips,15,8
chips,15,9
chips,15,10
chips,15,11
chips,15,12
chips,15,13
