type,startx,starty,h/v,length
entry,3,31,v,3
exit,0,30,h,3
a,13,0,h,12
b,28,0,h,6
c,37,0,h,6
d,46,0,h,15
e,13,4,h,12
f,28,4,h,6
g,37,4,h,6
h,46,4,h,15
wall,13,5,h,21
wall,37,5,h,24
i,13,6,h,12
j,28,6,h,6
k,37,6,h,6
l,46,6,h,15
m,13,10,h,12
n,28,10,h,6
o,37,10,h,6
p,46,10,h,15
wall,13,11,h,21
wall,37,11,h,24
q,13,12,h,12
r,28,12,h,6
s,37,12,h,6
t,46,12,h,15
u,13,16,h,12
v,28,16,h,6
w,37,16,h,6
x,46,16,h,15
wall,13,17,h,21
wall,37,17,h,24
y,13,18,h,12
z,28,18,h,6
aa,37,18,h,6
bb,46,18,h,15
cc,13,22,h,12
dd,28,22,h,6
ff,37,22,h,6
gg,46,22,h,15
wall,10,23,h,24
wall,37,23,h,24
hh,13,24,h,12
ii,28,24,h,6
jj,37,24,h,6
kk,46,24,h,15
ll,64,0,v,28
wall,0,31,h,2
wall,2,31,v,4
wall,3,24,v,7
wall,4,24,h,6
mm,4,25,v,6
nn,5,25,h,5
oo,10,28,h,8
wall,10,29,h,8
pp,10,30,h,8
qq,10,34,h,8
rr,22,28,h,8
wall,22,29,h,8
ss,22,30,h,8
tt,22,34,h,11
uu,33,29,v,6
vv,34,28,h,30
wall,34,29,v,6
wall,35,29,h,30
wall,3,35,h,31
wall,3,0,h,7
wall,3,4,h,7
wall,3,5,h,7
wall,3,6,h,7
wall,3,10,h,7
wall,3,11,h,7
wall,3,12,h,7
wall,3,16,h,7
wall,3,17,h,7
wall,3,18,h,7
wall,3,22,h,7
wall,3,23,h,7
