type,startx,starty,h/v,length
entry,97,99,h,2
exit,1,99,h,2
a,0,13,v,30
b,0,43,v,13
c,0,56,v,30
d,15,13,v,30
e,15,56,v,30
wall,16,13,v,30
wall,16,56,v,30
wall,17,13,v,30
wall,17,56,v,30
f,18,13,v,30
g,18,56,v,30
h,32,13,v,30
i,32,56,v,30
wall,33,13,v,30
wall,33,56,v,30
wall,34,13,v,30
wall,34,56,v,30
j,35,13,v,30
k,35,56,v,30
l,49,13,v,30
m,49,56,v,30
wall,50,13,v,30
wall,50,56,v,30
wall,51,13,v,30
wall,51,56,v,30
n,52,13,v,30
o,52,56,v,30
p,66,13,v,30
q,66,56,v,30
wall,67,13,v,30
wall,67,56,v,30
wall,68,13,v,30
wall,68,56,v,30
r,69,13,v,30
s,69,56,v,30
t,83,13,v,30
u,83,56,v,30
wall,84,13,v,30
wall,84,56,v,30
wall,85,13,v,30
wall,85,56,v,30
v,86,13,v,30
w,86,56,v,30
x,99,13,v,30
y,99,43,v,13
z,99,56,v,30
